Month-Year,Number of Crimes
6-Jan,10637
6-Feb,9156
6-Mar,10765
6-Apr,10310
6-May,11038
6-Jun,11155
6-Jul,11342
6-Aug,11500
6-Sep,11207
6-Oct,11482
6-Nov,10511
6-Dec,10454
7-Jan,10920
7-Feb,9166
7-Mar,10820
7-Apr,10309
7-May,11267
7-Jun,11227
7-Jul,11362
7-Aug,11472
7-Sep,11412
7-Oct,11597
7-Nov,10623
7-Dec,10497
8-Jan,10994
8-Feb,9601
8-Mar,10607
8-Apr,10231
8-May,10798
8-Jun,10978
8-Jul,10983
8-Aug,11523
8-Sep,10910
8-Oct,11285
8-Nov,10295
8-Dec,10088
9-Jan,10215
9-Feb,9217
9-Mar,10546
9-Apr,10200
9-May,10705
9-Jun,10448
9-Jul,10734
9-Aug,10988
9-Sep,10487
9-Oct,11140
9-Nov,10163
9-Dec,9588
10-Jan,10345
10-Feb,8336
10-Mar,10217
10-Apr,10194
10-May,10709
10-Jun,10441
10-Jul,10488
10-Aug,10478
10-Sep,10314
10-Oct,10940
10-Nov,9898
10-Dec,9026
