DateN,BURGLARY_Count
14-Oct,1
24-Oct,1
29-Jan,1
23-Feb,1
26-Apr,1
4-May,1
22-Jun,1
1-Oct,13
10-Oct,20
11-Oct,10
12-Oct,11
13-Oct,9
14-Oct,8
15-Oct,14
16-Oct,10
17-Oct,10
18-Oct,11
19-Oct,13
2-Oct,9
20-Oct,10
21-Oct,5
22-Oct,9
23-Oct,13
24-Oct,17
25-Oct,10
26-Oct,19
27-Oct,7
28-Oct,5
29-Oct,14
3-Oct,15
30-Oct,4
31-Oct,8
4-Oct,11
5-Oct,17
6-Oct,8
7-Oct,9
8-Oct,6
9-Oct,15
1-Nov,10
10-Nov,6
11-Nov,8
12-Nov,8
13-Nov,5
14-Nov,10
15-Nov,14
16-Nov,9
17-Nov,8
18-Nov,6
19-Nov,6
2-Nov,16
20-Nov,13
21-Nov,26
22-Nov,8
23-Nov,11
24-Nov,8
25-Nov,10
26-Nov,12
27-Nov,17
28-Nov,6
29-Nov,8
3-Nov,10
30-Nov,9
4-Nov,13
14-Jan,1
5-Nov,19
6-Nov,7
7-Nov,19
8-Nov,10
9-Nov,15
2-Jan,1
1-Dec,12
10-Dec,16
11-Dec,7
12-Dec,16
13-Dec,7
14-Dec,16
15-Dec,7
16-Dec,11
17-Dec,15
18-Dec,13
19-Dec,16
2-Dec,7
20-Dec,11
21-Dec,12
22-Dec,17
23-Dec,4
24-Dec,12
25-Dec,10
26-Dec,5
27-Dec,5
28-Dec,24
29-Dec,8
3-Dec,10
30-Dec,6
31-Dec,22
4-Dec,11
5-Dec,9
6-Dec,8
7-Dec,16
8-Dec,4
9-Dec,9
29-Jan,1
3-Jan,1
28-Feb,1
3-Feb,1
15-Mar,1
23-Mar,1
24-Mar,1
27-Mar,1
29-Mar,1
30-Mar,2
31-Mar,1
1-Apr,2
10-Apr,6
11-Apr,13
12-Apr,9
13-Apr,22
14-Apr,10
15-Apr,7
16-Apr,13
17-Apr,10
18-Apr,8
19-Apr,14
2-Apr,6
20-Apr,16
21-Apr,9
22-Apr,8
23-Apr,10
24-Apr,12
25-Apr,13
26-Apr,13
27-Apr,16
28-Apr,13
29-Apr,11
3-Apr,5
30-Apr,11
4-Apr,11
5-Apr,14
6-Apr,13
7-Apr,2
8-Apr,4
9-Apr,6
1-May,11
10-May,11
11-May,12
12-May,13
13-May,9
14-May,7
15-May,8
16-May,12
17-May,8
18-May,7
19-May,17
2-May,16
20-May,7
21-May,16
22-May,8
23-May,13
24-May,12
25-May,21
26-May,5
27-May,14
28-May,12
29-May,11
3-May,10
30-May,7
31-May,8
4-May,8
5-May,10
6-May,7
7-May,11
8-May,12
9-May,17
1-Jun,12
10-Jun,8
11-Jun,8
12-Jun,12
13-Jun,13
14-Jun,19
15-Jun,19
16-Jun,4
17-Jun,2
18-Jun,8
19-Jun,18
2-Jun,10
20-Jun,9
21-Jun,15
22-Jun,16
23-Jun,10
24-Jun,8
25-Jun,14
26-Jun,11
27-Jun,15
28-Jun,18
29-Jun,17
3-Jun,7
30-Jun,13
4-Jun,9
5-Jun,6
6-Jun,9
7-Jun,7
8-Jun,15
9-Jun,7
1-Jul,2
10-Jul,7
11-Jul,4
12-Jul,16
13-Jul,10
14-Jul,5
15-Jul,9
16-Jul,15
17-Jul,19
18-Jul,12
19-Jul,16
2-Jul,11
20-Jul,19
21-Jul,6
22-Jul,6
23-Jul,16
24-Jul,9
25-Jul,4
26-Jul,14
27-Jul,19
28-Jul,11
29-Jul,11
3-Jul,21
30-Jul,16
31-Jul,15
4-Jul,11
5-Jul,10
6-Jul,11
7-Jul,6
8-Jul,15
9-Jul,11
1-Aug,16
10-Aug,17
11-Aug,10
12-Aug,10
13-Aug,19
14-Aug,10
15-Aug,12
16-Aug,15
17-Aug,22
18-Aug,6
19-Aug,9
2-Aug,18
20-Aug,20
21-Aug,14
22-Aug,14
23-Aug,13
24-Aug,17
25-Aug,8
26-Aug,8
27-Aug,17
28-Aug,9
29-Aug,8
3-Aug,18
30-Aug,9
31-Aug,18
4-Aug,4
5-Aug,11
6-Aug,17
7-Aug,19
8-Aug,18
9-Aug,17
1-Sep,8
10-Sep,18
11-Sep,18
12-Sep,11
13-Sep,9
14-Sep,15
15-Sep,12
16-Sep,8
17-Sep,11
18-Sep,16
19-Sep,18
2-Sep,11
20-Sep,16
21-Sep,23
22-Sep,11
23-Sep,7
24-Sep,7
25-Sep,9
26-Sep,10
27-Sep,14
28-Sep,28
29-Sep,8
3-Sep,15
30-Sep,13
4-Sep,16
5-Sep,9
6-Sep,14
7-Sep,23
8-Sep,9
9-Sep,6
1-Oct,7
10-Oct,22
11-Oct,6
12-Oct,10
13-Oct,10
14-Oct,18
15-Oct,12
16-Oct,16
17-Oct,16
18-Oct,11
19-Oct,9
2-Oct,15
20-Oct,12
21-Oct,11
22-Oct,10
23-Oct,14
24-Oct,7
25-Oct,10
26-Oct,7
27-Oct,9
28-Oct,9
29-Oct,14
3-Oct,13
30-Oct,12
31-Oct,12
4-Oct,13
5-Oct,5
6-Oct,9
7-Oct,17
8-Oct,14
9-Oct,17
1-Jan,9
10-Jan,14
1-Nov,13
11-Jan,14
10-Nov,12
11-Nov,8
12-Nov,17
13-Nov,14
14-Nov,13
15-Nov,7
16-Nov,9
17-Nov,10
18-Nov,10
19-Nov,16
2-Nov,5
12-Jan,11
20-Nov,10
21-Nov,17
22-Nov,5
23-Nov,5
24-Nov,12
25-Nov,21
26-Nov,11
27-Nov,5
28-Nov,17
29-Nov,18
3-Nov,10
13-Jan,9
30-Nov,6
4-Nov,4
14-Jan,11
5-Nov,8
15-Jan,9
6-Nov,9
16-Jan,10
7-Nov,13
17-Jan,17
8-Nov,12
18-Jan,14
9-Nov,6
19-Jan,6
2-Jan,7
20-Jan,7
1-Dec,12
21-Jan,8
10-Dec,16
11-Dec,11
12-Dec,14
13-Dec,8
14-Dec,9
15-Dec,7
16-Dec,4
17-Dec,11
18-Dec,6
19-Dec,15
2-Dec,9
22-Jan,11
20-Dec,10
21-Dec,7
22-Dec,16
23-Dec,15
24-Dec,15
25-Dec,6
26-Dec,11
27-Dec,16
28-Dec,8
29-Dec,6
3-Dec,16
23-Jan,9
30-Dec,7
31-Dec,20
4-Dec,12
24-Jan,13
5-Dec,17
25-Jan,16
6-Dec,10
26-Jan,5
7-Dec,4
27-Jan,9
8-Dec,10
28-Jan,10
9-Dec,8
29-Jan,15
3-Jan,12
30-Jan,17
31-Jan,14
4-Jan,10
5-Jan,8
6-Jan,14
7-Jan,9
8-Jan,17
9-Jan,14
1-Feb,6
10-Feb,2
11-Feb,6
12-Feb,9
13-Feb,9
14-Feb,8
15-Feb,7
16-Feb,3
17-Feb,5
18-Feb,8
19-Feb,14
2-Feb,8
20-Feb,4
21-Feb,8
22-Feb,10
23-Feb,4
24-Feb,5
25-Feb,9
26-Feb,4
27-Feb,13
28-Feb,5
29-Feb,13
3-Feb,3
4-Feb,18
5-Feb,14
6-Feb,4
7-Feb,8
8-Feb,10
9-Feb,5
1-Mar,10
10-Mar,9
11-Mar,12
12-Mar,4
13-Mar,7
14-Mar,21
15-Mar,6
16-Mar,6
17-Mar,16
18-Mar,11
19-Mar,7
2-Mar,5
20-Mar,10
21-Mar,7
22-Mar,7
23-Mar,9
24-Mar,4
25-Mar,11
26-Mar,13
27-Mar,13
28-Mar,20
29-Mar,8
3-Mar,13
30-Mar,4
31-Mar,13
4-Mar,10
5-Mar,8
6-Mar,6
7-Mar,13
8-Mar,6
9-Mar,7
1-Apr,7
10-Apr,9
11-Apr,23
12-Apr,5
13-Apr,11
14-Apr,10
15-Apr,4
16-Apr,5
17-Apr,11
18-Apr,15
19-Apr,9
2-Apr,7
20-Apr,8
21-Apr,10
22-Apr,15
23-Apr,7
24-Apr,9
25-Apr,18
26-Apr,11
27-Apr,6
28-Apr,14
29-Apr,16
3-Apr,16
30-Apr,17
4-Apr,21
5-Apr,9
6-Apr,5
7-Apr,19
8-Apr,12
9-Apr,11
1-May,10
10-May,8
11-May,6
12-May,12
13-May,11
14-May,10
15-May,9
16-May,12
17-May,8
18-May,3
19-May,14
2-May,10
20-May,16
21-May,10
22-May,13
23-May,23
24-May,7
25-May,4
26-May,13
27-May,17
28-May,19
29-May,6
3-May,6
30-May,11
31-May,15
4-May,6
5-May,11
6-May,9
7-May,6
8-May,11
9-May,14
1-Jun,8
10-Jun,11
11-Jun,13
12-Jun,8
13-Jun,15
14-Jun,5
15-Jun,10
16-Jun,8
17-Jun,20
18-Jun,15
19-Jun,10
2-Jun,8
20-Jun,19
21-Jun,14
22-Jun,9
23-Jun,12
24-Jun,9
25-Jun,16
26-Jun,11
27-Jun,20
28-Jun,4
29-Jun,8
3-Jun,13
30-Jun,20
4-Jun,13
5-Jun,11
6-Jun,15
7-Jun,13
8-Jun,7
9-Jun,9
1-Jul,14
10-Jul,10
11-Jul,11
12-Jul,12
